# 部队ID	位置	武将名称	等级	武将图示	将近攻	将远攻	将近防	将远防	兵种类型	兵阶	适性	技能ID	命中修正	闪避修正	格挡修正	破击修正	暴击修正	韧性修正	伤增【步】	伤增【弓】	伤增【枪】	伤增【骑】	伤增【器】	伤减【步】	伤减【弓】	伤减【枪】	伤减【骑】	伤减【器】
1804102	6	营寨二	12	yingzhai	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804102	7	营寨二	12	yingzhai	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804102	8	营寨二	12	yingzhai	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804102	9	营寨二	12	yingzhai	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804102	10	营寨二	12	yingzhai	100	100	30	30	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804103	6	营寨三	13	yingzhai	200	200	50	50	710100	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804103	7	营寨三	13	yingzhai	200	200	50	50	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804103	8	营寨将领	13	yingzhai	300	300	50	50	710300	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804103	9	营寨三	13	yingzhai	200	200	50	50	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1804103	10	营寨三	13	yingzhai	200	200	50	50	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805101	6	互斥一前军	14	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805101	7	互斥一前军	14	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805101	8	互斥一前军	14	yingzhai	500	500	65	65	710200	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805101	9	互斥一前军	14	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805101	10	互斥一前军	14	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805102	6	互斥一中军	15	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805102	7	互斥一中军	15	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805102	8	互斥一中军	15	yingzhai	500	500	65	65	710300	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805102	9	互斥一中军	15	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805102	10	互斥一中军	15	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805103	6	互斥一后军	16	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805103	7	互斥一后军	16	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805103	8	互斥一主将	16	yingzhai	500	500	65	65	710400	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805103	9	互斥一后军	16	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805103	10	互斥一后军	16	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805201	6	互斥二前军	14	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805201	7	互斥二前军	14	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805201	8	互斥二前军	14	yingzhai	500	500	65	65	710400	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805201	9	互斥二前军	14	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805201	10	互斥二前军	14	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805202	6	互斥二中军	15	yingzhai	300	300	65	65	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805202	7	互斥二中军	15	yingzhai	300	300	65	65	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805202	8	互斥二中军	15	yingzhai	500	500	65	65	710500	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805202	9	互斥二中军	15	yingzhai	300	300	65	65	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805202	10	互斥二中军	15	yingzhai	300	300	65	65	710500	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805203	6	互斥二后军	16	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805203	7	互斥二后军	16	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805203	8	互斥二主将	16	yingzhai	500	500	65	65	710300	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805203	9	互斥二后军	16	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1805203	10	互斥二后军	16	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807101	6	依赖前军	17	yingzhai	300	300	65	65	710100	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807101	7	依赖前军	17	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807101	8	依赖前军	17	yingzhai	500	500	65	65	710100	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807101	9	依赖前军	17	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807101	10	依赖前军	17	yingzhai	300	300	65	65	710100	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807102	6	依赖中军	18	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807102	7	依赖中军	18	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807102	8	依赖中军	18	yingzhai	500	500	65	65	710200	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807102	9	依赖中军	18	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807102	10	依赖中军	18	yingzhai	300	300	65	65	710200	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807103	6	依赖后军	19	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807103	7	依赖后军	19	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807103	8	依赖主将	19	yingzhai	500	500	65	65	710300	1	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807103	9	依赖后军	19	yingzhai	300	300	65	65	710400	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1807103	10	依赖后军	19	yingzhai	300	300	65	65	710300	1	-10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
