# 武将ID	武将名称	招募类型	招募数值	武将图示	品质	国家	统率	武力	智力	步兵	弓兵	枪兵	骑兵	器械	专属技能ID	命中	闪避	格挡	破击	暴击	韧性	简介
101014	邓艾	191400	180000	dengai	Yellow	101000	83	80	82	A	0	A	0	0	0	0	0	0	0	0	0	邓艾（197－264），字士载，义阳棘阳（今河南新野）人。三国时期魏国杰出的军事家、将领。公元263年他与钟会分别率军攻打蜀汉，最后他率先进入成都，使得蜀汉灭亡。
101015	徐庶	190300	0	xushu	Yellow	101000	82	67	91	0	A	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101016	羊祜	191400	160000	yangku	Yellow	101000	87	66	86	0	A	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101017	郝昭	195100	0	haozhao	Yellow	101000	87	74	78	S	0	0	0	C	0	0	0	0	0	0	0	郝昭（185－229），字伯道，太原人，中国东汉末年至曹魏初年著名将领。郝昭少年从军，屡立战功，逐渐晋升为杂号将军，后受司马懿推荐镇守陈仓，防御蜀汉。
101018	曹洪	192200	200	caohong	Yellow	101000	82	81	73	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101019	曹仁	191400	140000	caoren	Yellow	101000	83	82	71	A	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101020	文聘	195200	0	wenpin	Yellow	101000	86	80	68	B	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101021	荀攸	191500	15	xunyou	Yellow	101000	79	60	94	0	B	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101022	程昱	191300	610020	chengyu	Yellow	101000	77	65	90	0	0	A	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
101023	曹丕	195300	0	caopi	Yellow	101000	76	71	85	0	A	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101024	于禁	191200	0	yujin	Yellow	101000	84	78	70	0	0	A	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101025	夏侯霸	191400	70000	xiahouba	Blue	101000	74	84	71	0	0	B	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101026	乐进	191400	60000	lejin	Blue	101000	80	82	67	0	0	A	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
101027	满宠	195400	0	manchong	Blue	101000	81	64	83	0	B	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
101028	李典	195200	0	lidian	Blue	101000	72	77	79	A	0	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
101029	钟会	191400	30000	zhonghui	Blue	101000	72	67	88	0	B	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
101030	郭淮	191400	40000	guohuai	Blue	101000	79	71	77	B	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101031	司马昭	192200	50	simazhao	Blue	101000	78	63	85	0	B	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101032	司马师	191300	610017	simashi	Blue	101000	80	64	82	B	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101033	高览	195200	0	gaolan	Blue	101000	76	82	66	0	0	B	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101034	文鸯	195400	0	wenyang	Blue	101000	76	84	64	0	B	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101035	曹彰	191300	610016	caozhang	Blue	101000	80	82	61	B	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101036	王双	191400	5000	wangshuang	Blue	101000	75	88	60	B	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101037	曹真	191400	500	caozhen	Green	101000	78	71	70	B	0	0	C	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101038	刘晔	195400	0	liuye	Green	101000	62	62	92	0	C	0	0	A	0	0	0	0	0	0	0	刘晔（176－？？），字子扬，淮南成德（今安徽寿州东南）人，是光武帝刘秀之子阜陵王刘延的后代，三国时期魏国著名的战略家。
101039	陈群	191300	610011	chenqun	Green	101000	63	60	85	0	B	C	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101040	杨修	195400	0	yangxiu	Green	101000	65	60	83	0	C	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
101041	华歆	195400	0	huaxin	Green	101000	65	60	83	B	0	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
101042	曹冲	195300	0	caochong	Green	101000	60	60	85	0	0	B	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
101043	马钧	192200	30	majun	Green	101000	61	60	82	0	C	0	0	S	0	0	0	0	0	0	0	马钧（200－？？），字德衡，扶风（今陕西兴平）人，是我国古代科技史上最负盛名的机械发明家之一。
101044	许攸	191200	0	xuyou	Green	101000	62	60	80	0	C	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
101045	曹植	191500	6	caozhi	Green	101000	60	60	81	0	C	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
101046	王朗	190300	0	wanglang	Green	101000	60	60	80	B	0	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
102001	赵云	190100	0	zhaoyun	Red	102000	95	96	81	S	0	0	S	0	0	0	0	0	0	0	0	赵云（168－229），字子龙，三国常山真定（今河北正定南）人。初从公孙瓒，后归刘备。曹操取荆州，刘备败于当阳长阪，他力战救护甘夫人和备子刘禅。建兴六年（公元228年），从诸葛亮攻关中，分兵拒曹真主力，以众寡不敌，退回汉中。次年卒。
102002	诸葛亮	192200	1000	zhugeliang	Red	102000	97	75	100	0	S	0	0	S	0	0	0	0	0	0	0	诸葛亮（181－234），字孔明，号卧龙（也作伏龙），琅琊阳都（今山东临沂市沂南县）人，三国时期蜀汉丞相，杰出的政治家、军事家、发明家、文学家。在世时被封为武乡侯，死后追谥忠武侯。
102003	关羽	190100	0	guanyu	Red	102000	95	97	77	S	0	0	S	0	0	0	0	0	0	0	0	关羽（162－220），字云长，河东解（今山西运城）人。东汉末年名将。刘备、诸葛亮等入蜀，关羽镇守荆州，刘备夺取汉中后，关羽乘势北伐曹魏，曾水淹七军、擒于禁、斩庞德、威震华夏，吓得曹操差点迁都躲避，但是东吴偷袭荆州，关羽兵败被害。
102004	张飞	190100	0	zhangfei	Red	102000	94	98	72	0	0	S	S	0	0	0	0	0	0	0	0	张飞（167－221），字益德涿郡（治今河北涿州）人，三国时期蜀汉重要将领。官至车骑将军，封西乡侯。早年与刘备关羽桃园三结义，行三。性如烈火，嫉恶如仇，曾于长坂坡当阳桥头上一声吼，吓退曹操八十三万大军
102005	马超	191400	500000	machao	Red	102000	93	97	70	0	0	S	S	0	0	0	0	0	0	0	0	马超（176－222），字孟起，扶风茂陵（今陕西兴平）人。三国时期蜀汉名将。刘备入蜀后马超投奔刘备，并为刘备作前驱，进入成都。公元221年马超被封为骠骑将军。公元222年，马超病逝。
102006	黄忠	191300	610024	huangzhong	Purple	102000	91	93	75	A	S	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102007	魏延	191200	0	weiyan	Purple	102000	92	92	73	S	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102008	庞统	191300	610023	pangtong	Purple	102000	84	73	97	0	S	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
102009	姜维	190300	0	jiangwei	Purple	102000	86	85	82	0	A	S	0	0	0	0	0	0	0	0	0	姜维（202－264），字伯约，天水冀（今甘肃甘谷东南）人。三国时期蜀汉著名军事家、军事统帅。原为曹魏天水郡的中郎将，后降蜀汉，官至凉州刺史、大将军（拥有最高军事指挥权）。
102010	刘备	190300	0	liubei	Purple	102000	90	79	83	S	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102011	张星彩	190200	0	zhangxingcai	Purple	102000	89	83	79	0	A	0	S	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102012	黄月英	190200	0	huangyueying	Purple	102000	85	78	88	0	A	0	0	S	0	0	0	0	0	0	0	黄月英（186－？？），三国时荆州（今湖北襄阳）人，黄承彦之女，诸葛亮之妻，诸葛瞻之母。本名于史无载，“月英”是她在民间传说中的名字。
102013	关平	191200	0	guanping	Yellow	102000	87	85	75	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102014	张苞	191300	610021	zhangbao	Yellow	102000	85	87	73	A	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102015	关兴	192200	300	guanxing	Yellow	102000	83	86	76	A	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102016	法正	191200	0	fazheng	Yellow	102000	82	67	94	0	A	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
102017	马岱	195100	0	madai	Yellow	102000	85	86	70	A	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102018	严颜	191200	0	yanyan	Yellow	102000	82	83	74	A	A	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102019	王平	191400	120000	wangping	Yellow	102000	86	73	76	A	A	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102020	李严	195200	0	liyan	Yellow	102000	79	80	75	A	B	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102021	蒋琬	192200	200	jiangwan	Yellow	102000	80	63	89	0	B	0	0	A	0	0	0	0	0	0	0	蒋琬（188－246），字公琰，零陵湘乡人。三国时期著名的政治家。初随刘备入蜀，诸葛亮卒后封大将军，录尚书事，封安阳亭侯，旋受命开府，加大司马，辅佐刘禅，总揽蜀汉军朝，统兵御魏。
102022	关索	195200	0	guansuo	Blue	102000	74	85	70	B	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102023	周仓	191200	0	zhoucang	Blue	102000	80	82	67	A	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102024	费祎	192200	50	feidai	Blue	102000	80	60	88	0	A	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
102025	刘封	191300	610018	liufeng	Blue	102000	81	79	68	0	0	A	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102026	马谡	191200	0	mashgu	Blue	102000	73	67	87	0	B	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102027	张嶷	192200	40	zhangyi	Blue	102000	79	70	76	0	B	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102028	吴懿	191400	10000	wuyi	Blue	102000	83	73	69	0	B	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102029	廖化	191400	20000	liaohua	Blue	102000	76	78	71	A	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102030	邓芝	192200	30	dengzhi	Blue	102000	81	60	83	0	B	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
102031	马良	191500	11	maliang	Blue	102000	72	63	88	0	B	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
102032	赵统	191300	610015	zhaotong	Blue	102000	78	72	71	B	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102033	李恢	190300	0	lihui	Blue	102000	77	65	78	0	0	B	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
102034	向宠	191300	610013	xiangchong	Green	102000	76	67	76	C	B	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102035	陈到	190300	0	chendao	Green	102000	76	71	70	0	0	B	C	0	0	0	0	0	0	0	0	陈到（?－230）字叔至，汝南（治今河南平舆）人。三国时期蜀汉名将，名位亚于赵云，以忠勇著称。官至护军、永安都督、征西将军，封亭侯。
102036	董允	195400	0	dongyun	Green	102000	68	60	85	0	B	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
102037	伊籍	195400	0	yiji	Green	102000	68	60	83	0	0	C	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
102038	孙乾	191500	8	sunqian	Green	102000	69	60	81	B	0	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
102039	糜竺	190300	0	mizhu	Green	102000	64	63	80	0	B	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
102040	秦宓	191500	4	qinmi	Green	102000	60	66	78	0	B	C	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102041	简雍	195300	0	jianyong	Green	102000	68	61	74	B	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102042	郭攸之	192200	10	guoyouzhi	Green	102000	63	63	74	0	C	C	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
102043	刘禅	195400	0	liushan	Green	102000	75	62	63	C	C	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103001	周瑜	190100	0	zhouyu	Red	103000	97	79	96	0	S	S	0	0	0	0	0	0	0	0	0	周瑜（175－210）字公瑾，汉族，庐江舒县（今安徽省庐江县西南）人。东汉末年东吴名将，相貌英俊有“周郎”之称。周瑜精通军事，又善音律，江东向来有“曲有误，周郎顾”之语。
103002	太史慈	190100	0	taishici	Red	103000	92	93	81	0	S	0	S	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103003	陆逊	190100	0	luxun	Red	103000	96	72	95	S	S	0	0	0	0	0	0	0	0	0	0	陆逊（183－245），本名陆议，字伯言，汉族，吴郡吴县（今江苏苏州）人。三国时期著名政治家、军事家，历任吴国大都督、上大将军、丞相。
103004	吕蒙	191300	610026	lvmeng	Red	103000	91	82	89	0	0	S	0	S	0	0	0	0	0	0	0	吕蒙（178－220），字子明，汝南富陂（今安徽阜南吕家岗）人。汉末三国时期东吴名将。曾经乘名将关羽北伐曹魏、荆州空虚之时，偷袭荆州成功
103005	孙策	190100	0	sunce	Red	103000	92	95	73	0	0	S	S	0	0	0	0	0	0	0	0	孙策（175－200），字伯符，吴郡富春（今浙江富阳）人。孙坚长子，孙权长兄。东汉末年割据江东一带的军阀，汉末群雄之一，三国时期吴国的奠基者之一。
103006	甘宁	192200	700	ganning	Purple	103000	90	92	76	0	0	S	0	A	0	0	0	0	0	0	0	甘宁（174－？？），字兴霸，巴郡临江（今重庆忠县）人，祖籍荆州南阳郡。三国时期吴国大将。他为人暴躁记仇，少有气力，好游侠，为人勇猛刚强，忠心耿耿，勇往无前。
103007	孙坚	190300	0	sunjian	Purple	103000	93	90	74	S	0	0	A	0	0	0	0	0	0	0	0	孙坚（155－191），字文台，汉族，吴郡富春（今浙江杭州富阳）人。东汉末期地方军阀，著名将领。
103008	徐盛	190300	0	xusheng	Purple	103000	89	87	78	S	A	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103009	黄盖	191200	0	huanggai	Purple	103000	91	85	76	A	0	S	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103010	孙权	190300	0	sunquan	Purple	103000	88	79	85	S	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103011	孙尚香	192200	500	sunshangxiang	Purple	103000	86	88	77	0	S	0	A	0	0	0	0	0	0	0	0	孙尚香（193－？？），三国时期吴主孙权之妹，后嫁与刘备。被称为“弓腰姬”
103012	周泰	195200	0	zhoutai	Purple	103000	81	92	77	S	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103013	程普	195100	0	chengpu	Yellow	103000	85	79	79	A	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103014	陆抗	190300	0	lukang	Yellow	103000	91	63	87	0	A	0	0	A	0	0	0	0	0	0	0	陆抗（226－274），字幼节，吴郡吴县（今江苏苏州）人。三国时期吴国名将，陆逊次子，孙策外孙。年二十为建武校尉，领其父众五千人。后迁立节中郎将、镇军将军等。
103015	鲁肃	191500	14	lusu	Yellow	103000	85	63	92	A	A	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103016	张昭	192200	300	zhangzhao	Yellow	103000	79	69	92	A	0	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
103017	朱桓	190300	0	zhuhuan	Yellow	103000	84	82	73	A	0	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103018	大乔	190200	0	daqiao	Yellow	103000	79	73	81	0	A	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
103019	小乔	190200	0	xiaoqiao	Yellow	103000	77	75	81	0	A	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
103020	诸葛瑾	192200	100	zhugejin	Yellow	103000	83	64	85	B	A	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103021	丁奉	191400	100000	dingfeng	Yellow	103000	81	80	71	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103022	凌统	195300	0	lingtong	Yellow	103000	77	87	66	A	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103023	韩当	191400	80000	handang	Blue	103000	76	85	68	B	A	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103024	潘璋	191200	0	panzhang	Blue	103000	76	80	70	A	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103025	朱然	192200	50	zhuran	Blue	103000	79	75	71	0	B	A	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103026	凌操	195300	0	lingcao	Blue	103000	75	81	67	B	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103027	全琮	195300	0	quancong	Blue	103000	78	72	71	B	0	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
103028	董袭	191400	2000	dongxi	Blue	103000	72	79	70	0	0	B	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
103029	张纮	191500	13	zhangkui	Blue	103000	70	60	91	0	C	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
103030	蒋钦	195300	0	jiangqin	Blue	103000	72	80	68	B	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103031	吕范	195400	0	lvfan	Green	103000	73	68	75	0	B	C	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103032	朱治	195400	0	zhuzhi	Green	103000	73	66	73	C	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103033	马忠	190300	0	mazhong	Green	103000	70	77	64	C	B	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103034	孙休	195400	0	sunxiu	Green	103000	69	60	78	0	B	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
103035	虞翻	191400	100	yufan	Green	103000	60	60	86	0	B	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
103036	祖茂	190300	0	zumao	Green	103000	70	71	62	B	0	0	C	0	0	0	0	0	0	0	0	简介欠奉，后续再补
103037	董昭	191300	610007	dongzhao	Green	103000	60	60	81	0	0	C	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
103038	孙瑜	190300	0	sunyu	Green	103000	60	70	70	C	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104001	吕布	192200	1000	lvbu	Red	104000	98	100	72	0	S	0	S	0	0	0	0	0	0	0	0	吕布（156－198），字奉先，五原郡九原县（今内蒙古包头）人。东汉末年名将，汉末群雄之一，著名武将与割据军阀。曾先后为丁原、董卓的部将，也曾为袁术效力，被封为徐州牧，后自成一方势力，于建安三年（198）在下邳被曹操击败并处死。
104002	贾诩	190300	0	jiaxu	Red	104000	91	72	97	0	0	S	0	S	0	0	0	0	0	0	0	简介欠奉，后续再补
104003	高顺	190300	0	gaoshun	Purple	104000	90	87	79	S	0	0	A	0	0	0	0	0	0	0	0	高顺（162－198），中国东汉末年将领，吕布帐下中郎将。史载高顺为人清白有威严，不好饮酒，所统率的部队精锐非常，号称“陷阵营”。屡进忠言于吕布，吕布虽知其忠而不能用。曹操击破吕布后，高顺被曹操所杀。
104004	张任	191400	250000	zhangren	Purple	104000	92	84	78	S	A	0	0	0	0	0	0	0	0	0	0	张任（169－214），蜀郡（治今四川成都）人，东汉末年名将，益州牧刘璋的属下，官至益州从事。当刘备进攻益州时，他率部与刘备交战，后被刘备所擒，誓死不降，遭斩首。
104005	祝融	190200	0	zhurong	Purple	104000	88	85	79	0	A	0	S	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104006	孟获	190300	0	menghuo	Purple	104000	89	88	75	S	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104007	华雄	191200	0	huaxiong	Purple	104000	90	92	70	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104008	貂蝉	192100	10	diaochan	Purple	104000	86	78	87	A	A	0	0	0	0	0	0	0	0	0	0	貂蝉（176－？？），为东汉末年司徒王允家的义女，为拯救汉朝，由王允授意施行连环计，使董卓、吕布两人反目成仇，最终借吕布之手除掉了恶贼董卓
104009	吕玲绮	191100	0	lvlingqi	Purple	104000	89	89	73	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104010	华佗	192200	500	huatuo	Purple	104000	86	75	90	0	A	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
104011	文丑	195100	0	wenchou	Purple	104000	85	94	71	0	0	A	S	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104012	颜良	195100	0	yanliang	Purple	104000	86	93	71	A	0	0	S	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104013	张角	190300	0	zhangjiao	Yellow	104000	92	70	86	0	A	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
104014	马腾	190300	0	mateng	Yellow	104000	87	80	75	A	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104015	陈宫	191200	0	chengong	Yellow	104000	80	70	89	0	A	0	0	A	0	0	0	0	0	0	0	简介欠奉，后续再补
104016	公孙瓒	191200	0	gongsunzan	Yellow	104000	84	83	70	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104017	袁绍	191200	0	yuanshao	Yellow	104000	86	76	72	0	A	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
104018	蔡琰	190200	0	caiyan	Yellow	104000	80	75	78	0	A	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104019	董卓	195200	0	dongzhuo	Yellow	104000	74	87	71	B	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104020	纪灵	191200	0	jiling	Yellow	104000	78	83	70	0	0	A	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104021	张宝	191200	0	zhangbao	Blue	104000	81	71	77	0	0	A	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
104022	张梁	195300	0	zhangliang	Blue	104000	81	80	68	A	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104023	张绣	191400	50000	zhangxiu	Blue	104000	80	88	60	0	B	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104024	韩遂	191200	0	hansui	Blue	104000	83	70	72	B	0	0	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104025	沮授	191200	0	jushou	Blue	104000	78	60	87	0	A	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
104026	张燕	195200	0	zhangyan	Blue	104000	82	81	60	0	0	B	A	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104027	沙摩柯	192200	50	shamoke	Blue	104000	75	84	64	A	B	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104028	田丰	191500	12	tianfeng	Blue	104000	72	60	90	0	0	A	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
104029	皇甫嵩	195300	0	huangfusong	Blue	104000	87	61	73	0	0	A	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104030	兀突骨	191200	0	wutugu	Blue	104000	75	82	63	A	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104031	徐荣	195300	0	xurong	Green	104000	80	76	60	B	0	C	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104032	李傕	191200	0	lijue	Green	104000	62	60	86	0	0	0	B	C	0	0	0	0	0	0	0	简介欠奉，后续再补
104033	张松	191500	10	zhangsong	Green	104000	60	60	88	0	C	0	0	B	0	0	0	0	0	0	0	简介欠奉，后续再补
104034	忙牙长	190300	0	mangyachang	Green	104000	68	79	60	0	0	B	C	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104035	张鲁	191200	0	zhanglu	Green	104000	70	60	76	B	C	0	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104036	孟优	190300	0	mengyou	Green	104000	71	73	60	C	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104037	邢道荣	190300	0	xingdaorong	Green	104000	63	80	60	C	0	0	B	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104038	程远志	191200	0	chengyuanzhi	Green	104000	69	74	60	C	0	B	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104039	阿会喃	195400	0	ahuinan	Green	104000	69	74	60	B	0	0	C	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104040	刘琦	192200	10	liuqi	Green	104000	70	66	67	0	B	C	0	0	0	0	0	0	0	0	0	简介欠奉，后续再补
104041	郭图	191200	0	guotu	Green	104000	60	60	82	0	0	0	B	C	0	0	0	0	0	0	0	简介欠奉，后续再补
104042	孔融	191200	0	kongrong	Green	104000	68	60	74	C	0	0	0	C	0	0	0	0	0	0	0	简介欠奉，后续再补
